,state_abr,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,prod_year,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
50,AZ,30000.0,64,1920000.0,902000.0,1.26,2419000.0,2007,48.7,9038.0,304.0,679.5,0.0,10070.2
51,AZ,30000.0,65,1950000.0,839000.0,0.91,1775000.0,2006,48.7,9657.7,547.3,3470.6,0.0,13724.3
52,AZ,32000.0,55,1760000.0,774000.0,1.11,1954000.0,2004,96.7,10884.3,257.8,1635.9,0.0,12874.7
53,AZ,35000.0,72,2520000.0,983000.0,1.34,3377000.0,2003,0.0,9847.5,94.4,1120.2,0.0,11062.1
54,AZ,36000.0,50,1800000.0,720000.0,1.04,1872000.0,2005,0.0,8633.8,141.2,2509.3,0.0,11284.3
55,AZ,38000.0,63,2394000.0,1197000.0,1.08,2586000.0,2002,0.0,6235.4,562.2,141.6,0.0,6939.2
56,AZ,40000.0,59,2360000.0,1322000.0,0.73,1723000.0,2000,0.0,10467.4,0.0,0.0,0.0,10467.4
57,AZ,43000.0,59,2537000.0,1142000.0,0.72,1827000.0,2001,0.0,3713.1,19.6,0.0,0.0,3732.7
58,AZ,52000.0,62,3224000.0,1548000.0,0.62,1999000.0,1999,0.0,5171.6,0.0,0.0,0.0,5171.6
59,AZ,55000.0,60,3300000.0,1485000.0,0.64,2112000.0,1998,0.0,4814.2,0.0,0.0,0.0,4814.2
60,CA,275000.0,30,8250000.0,1485000.0,2.03,16748000.0,2015,143619.6,150569.3,17910.1,22852.8,0.0,334951.8
61,CA,310000.0,36,11160000.0,2009000.0,2.04,22766000.0,2016,,,,,,
62,CA,320000.0,39,12480000.0,2995000.0,2.06,25709000.0,2014,7845.2,134904.2,15249.1,20154.2,0.0,178152.7
63,CA,330000.0,33,10890000.0,2505000.0,2.11,22978000.0,2013,6569.3,130277.0,12189.3,18075.6,0.0,167111.2
64,CA,330000.0,35,11550000.0,3119000.0,1.94,22407000.0,2012,2898.1,112795.9,7572.1,17423.0,0.3,140689.4
65,CA,335000.0,41,13735000.0,2198000.0,2.09,28706000.0,2017,,,,,,
66,CA,340000.0,40,13600000.0,3672000.0,1.04,14144000.0,2007,1.3,112185.1,2541.8,11249.3,28.7,126006.2
67,CA,355000.0,33,11715000.0,2109000.0,1.39,16284000.0,2009,796.9,73976.8,4115.9,9496.4,0.0,88386.0
